rag_concepts,non_rag_concepts
heat stress,ambient temperature variability
thermal environment,radiant heat load
heat exposure,surface albedo influence
ambient temperature,microclimate exposure
extreme heat,thermal radiation imbalance
heatwave exposure,heat storage capacity
urban heat islands,nighttime heat retention
thermal discomfort,wet-bulb temperature stress
heat stress exposure,mean radiant temperature
adaptive capacity,convective heat exchange
heat strain,evaporative cooling limitation
heat exhaustion,soil moisture deficit
cold stress,canopy shading effect
dehydration risk,thermal boundary layer dynamics
humidity-driven risk,atmospheric humidity burden
insulation,heat flux divergence
window film,ground temperature gradient
area-level greenness,thermal inertia of materials
tree canopy,solar exposure intensity
proximity to blue space,radiant heat reflection
proximity to cooling centers,air stagnation events
proximity to public parks,dew point elevation
subjective heat stress,heatwave persistence
objective heat stress,cold-air pooling
heat-vulnerable chronic diseases,thermal stratification
heat health risk,apparent temperature index
spatial heat vulnerability,heat conduction through surfaces
urban heat exposure,radiant asymmetry
mega-urban heat risk,temperature inversion layer
seasonal thermal variation,thermal acclimatization capacity
heat risk,vapor pressure excess
urban blue spaces,heat load accumulation
water surface environments,radiant temperature heterogeneity
freshwater bodies,microthermal hotspots
lakes,thermal emissivity variation
ponds,ambient heat index
rivers,ground surface temperature anomaly
seas,heat stress index
artificial pools,thermal comfort zone deviation
urban cooling effects,skin temperature rise
city-level cooling,environmental heat gain
water-resilient cities,radiant heat absorption
,thermal radiation exchange
,heat budget imbalance
,diurnal temperature range
,thermal plume dispersion
,heat dissipation limitation
,thermal exposure gradient
,ambient humidity amplification
,environmental heat burden
,cold surface exposure
,latent heat flux constraint.
