concept
Ambient temperature variability
radiant heat load
surface albedo influence
microclimate exposure
thermal radiation imbalance
heat storage capacity
nighttime heat retention
wet-bulb temperature stress
mean radiant temperature
convective heat exchange
evaporative cooling limitation
soil moisture deficit
canopy shading effect
thermal boundary layer dynamics
atmospheric humidity burden
heat flux divergence
ground temperature gradient
thermal inertia of materials
solar exposure intensity
radiant heat reflection
air stagnation events
dew point elevation
heatwave persistence
cold-air pooling
thermal stratification
apparent temperature index
heat conduction through surfaces
radiant asymmetry
temperature inversion layer
thermal acclimatization capacity
vapor pressure excess
heat load accumulation
radiant temperature heterogeneity
microthermal hotspots
thermal emissivity variation
ambient heat index
ground surface temperature anomaly
heat stress index
thermal comfort zone deviation
skin temperature rise
environmental heat gain
radiant heat absorption
thermal radiation exchange
heat budget imbalance
diurnal temperature range
thermal plume dispersion
heat dissipation limitation
thermal exposure gradient
ambient humidity amplification
environmental heat burden
cold surface exposure
latent heat flux constraint.
