rag_concepts,non_rag_concepts
intersectional stressors,air pollution–linked cognitive fatigue
treatment-related stress,urban heat stress
body image disturbance,light pollution insomnia
appearance-related distress,chemical exposure anxiety
therapy-induced psychological stress,microplastic neurotoxicity
physiological change–related anxiety,wildfire smoke distress
combat-related trauma,electromagnetic field tension
bereavement-related psychological distress,water contamination fear
displacement-related anxiety,toxic mold irritability
displacement-related depression,drought-related despair
trauma-induced mental health effects,flood trauma
mind–body stress,climate displacement stress
environmental tolerability,ozone-related mood decline
environmental stress,indoor air stagnation fatigue
social environment stress,deforestation grief
psychosocial stress,coastal erosion anxiety
chronic stress,noise-vibration sensitivity
gut microbiota dysbiosis,temperature variability irritability
stress-induced inflammation,ultraviolet overexposure fatigue
stress-related hpa axis dysregulation,landscape degradation sadness
stress-related sympathetic activation,particulate matter–associated depression
,humidity fluctuation discomfort
,radiation exposure unease
,soil contamination worry
,ecosystem collapse distress
,biodiversity loss melancholy
,haze-related confusion
,environmental toxin–induced irritability
,poor ventilation lethargy
,thermal discomfort agitation
,storm-induced anxiety
