rag_concepts,non_rag_concepts
chemical exposure,parasitic infection
microbial exposure,mycotoxin exposure
drug exposure,endotoxin inhalation
dietary exposure,waterborne pathogens
metabolic byproducts,foodborne microbes
endogenous biological intermediates,antimicrobial resistance dissemination
ozone exposure,biofilm formation
air pollution exposure,helminth infestation
ambient ozone,prion contamination
oxidative air pollutants,environmental dna exchange
atmospheric oxidant exposure,cyanobacterial bloom toxins
inhaled pollutants,pollen inhalation
environmental ozone concentration,arthropod-borne disease
tropospheric ozone,fecal-oral transmission
environmental exposures,nosocomial pathogen spread
toxicant exposure,opportunistic infection
environmental pollutant exposure,soil microbiota disturbance
xenobiotic metabolism,indoor mold proliferation
biomarker exposure,biogenic volatile emissions
metabolite exposure,tick-borne pathogens
molecular contaminant exposure,mosquito-borne viruses
occupational chemical exposure,avian influenza exposure
exposome profiling,animal dander allergens
environmental toxicology,sewage contamination
oxidant gas exposure,aerosolized pathogens
fine particulate matter exposure,microbial endotoxin exposure
ambient air pollution,hospital bioaerosols
airborne pollutant exposure,contaminated surface contact
particulate air contamination,biohazard waste exposure
respiratory irritant exposure,permafrost pathogen release
dna adduct formation,marine biotoxin accumulation
epigenetic modification,and microbial antibiotic residue exposure.
enzyme disruption,
reactive oxygen species,
reactive nitrogen species,
