rag_concepts,non_rag_concepts
green transportation,traffic-related air pollution
carbon footprint,vehicle exhaust emissions
fossil fuel dependence,ultrafine particulate exposure
greenhouse gas emissions,nitrogen dioxide concentration
electric vehicles,black carbon deposition
public transit,roadway proximity
cycling infrastructure,diesel soot exposure
walking infrastructure,brake and tire wear particles
electric buses,tunnel air quality
electric trains,roadside dust resuspension
diesel vehicle pollution,non-tailpipe metal emissions
air pollution,ambient ozone formation
nitrogen oxides,urban heat from transport surfaces
particulate matter,noise pollution from road traffic
low-emission vehicles,rail vibration exposure
energy efficiency in transport,aircraft noise contours
cycling,port-related air emissions
public transport,marine fuel sulfur content
fuel‑inefficient vehicle use,idling emissions hotspots
electric vehicle,microenvironmental exposure in vehicles
sustainable transportation methods,public transport ventilation efficiency
commuting distance,subway particulate matter
sustainable transportation,platform air quality
public transportation,transport corridor green buffers
air travel,roadside vegetation filtration
high-emission activity,active transport infrastructure air quality
green commuting,cycling path proximity to traffic
carpooling,pedestrian exposure gradients
ridesharing,intersection pollution hotspots
micromobility,commuting distance-related exposure
e-scooters,transport-related ultrafine particle infiltration
e-bikes,street canyon dispersion
green transportation systems,transit stop air pollution
carbon dioxide emissions,transport-related secondary aerosol formation
vehicle emissions,highway barrier effects on dispersion
combustion engine pollutants,electric vehicle charging emissions
renewable energy use in transport,tire microplastic release
electricity-powered vehicles,road surface dust metals
biofuel-powered vehicles,traffic-derived black carbon infiltration indoors
hydrogen-powered vehicles,multimodal transport emissions profiles
traffic pollution,shipping corridor air quality.
noise pollution,
lifecycle environmental impact of vehicles,
alternative fuel vehicles,
frequent flights,
high-emission activities,
