rag_concepts,non_rag_concepts
microplastics,pfas contamination
emerging contaminants,pharmaceutical residues
plastic degradation,endocrine-disrupting compounds
aquatic ecosystem contamination,wastewater effluent exposure
human exposure through food and water,tire wear particles
ecological toxicity,synthetic textile fibers
advanced oxidation processes,atmospheric microplastic deposition
pollutant degradation,leachate migration
freshwater contamination,sediment contamination
environmental remediation,trophic transfer
microplastic occurrence,microplastic sorption of pollutants
drinking water contamination,advanced oxidation byproducts
treated water pollution,antibiotic resistance genes
raw water contamination,heavy metal co-contamination
microplastic fate,bisphenol analogs
small-sized microplastics,flame retardant residues
pigmented particles,volatile organic compound emissions
synthetic polymer contamination,landfill leachate infiltration
bottled water contamination,urban runoff contaminants
microplastic inhalation,agricultural pesticide drift
dermal microplastic exposure,microbe–plastic interactions
mixture toxicity,photodegradation products
ecological risk assessment,sludge-amended soil exposure
threshold concentration of microplastics,nanomaterial transformation
particle size,halogenated solvent residues
polymer type,persistent organic pollutants
weathered microplastics,microplastic-mediated pathogen transport
unweathered microplastics,tire-derived nanorubber particles
carrier of toxic chemicals,polymer degradation additives
endocrine disorders,drinking water treatment byproducts
human health risk assessment,stormwater micropollutants
microplastic exposure,atmospheric deposition of pfas
endocrine disturbance,coastal sediment microplastics
reproductive toxicity,biofilm formation on plastics
oxidative stress,microplastic vectoring of hydrophobic contaminants
polystyrene microplastics,secondary microplastic formation
environmental toxicants,wastewater-derived nanoplastics
infectious disease transmission via microplastics,microplastic uptake in crops
microplastic pollution,airborne nanoplastics
genotoxicity,polymer-bound heavy metals
reproductive impairments,oceanic microplastic gyres
organ inflammation,microplastic weathering processes
neurotoxicity,freshwater nanoplastic dispersion
cellular damage,soil microplastic accumulation
immune system disruption,photochemical aging of plastics
aquatic food chain contamination,environmental nanocarrier toxicity
plastic waste management,microplastic-induced oxidative stress
single-use plastic pollution,
biodegradable alternatives,
plastic-free packaging,
polypropylene contamination,
polyethylene contamination,
polyvinyl chloride contamination,
polyethylene terephthalate contamination,
microplastic fragments,
microplastic fibres,
tap water contamination,
polymer type distribution,
environmental microplastic pollution,
particle morphology,
