rag_concepts,non_rag_concepts
indoor air pollution,overcrowding
bioaerosols,inadequate ventilation
indoor fungi,structural deterioration
indoor bacteria,radon infiltration
indoor dust,asbestos-containing materials
indoor irritants,indoor particulate matter
indoor environmental quality,carbon monoxide accumulation
exposure duration,pest infestation
exposure level,noise intrusion
nature exposure,water leakage
built environment,inadequate natural lighting
green space,volatile organic compound emissions
access to outside space,substandard plumbing
urbanicity,poor waste drainage
neighbourhood environmental quality,contaminated household dust
ventilation,insufficient heating
indoor space,excessive humidity
proximity to green space,deteriorated flooring
proximity to local facilities,unsafe stairways
proximity to public transport,roof leakage
proximity to active transport options,poor air filtration
indoor cold exposure,nonfunctional smoke alarms
indoor air pollutants,inadequate fire safety design
poor housing conditions,drinking water contamination
air tightness,unsealed building envelope
heat loss,poor acoustic insulation
indoor airborne hazards,insufficient window sealing
exposure to environmental hazards,inadequate shading
housing modifications,surface condensation
housing standards,deteriorated wall materials
heat-related indoor environment,poor indoor air exchange
extreme heat exposure,residual pesticide contamination
indoor temperature,uninsulated piping
thermal comfort,structural moisture retention
indoor air quality,inadequate stormwater drainage.
indoor moisture,
structural integrity,
building materials,
dampness,
indoor mold,
poor housing quality,
excessive heat,
excessive cold,
