set,concept,best_cluster,best_endoh_label,best_similarity
rag,climate change adaptation policy,Extreme_weather_Events,Climatic_changes,0.5511236190795898
rag,sustainable adaptation governance,At_the_macroenvironmental_level,policy_governance_effect,0.5066738128662109
rag,environmental degradation regulation,policy_governance_effect,regulations_on_water_quality,0.5405407547950745
rag,disaster risk management,Community_resilience,Disaster_prepardness_in_urban_area,0.6697123050689697
rag,climate change mitigation policy,Extreme_weather_Events,Climatic_changes,0.4444538354873657
rag,policy integration framework,At_the_macroenvironmental_level,policy_governance_effect,0.5114567279815674
rag,environmental vulnerability assessment,Local_community_infrastructre,Contaminants_in_public_water_source,0.4364483952522278
rag,sustainable adaptation measures implementation,ENDOH_root_children,At_the_macroenvironmental_level,0.43023765087127686
rag,disaster response governance,Community_resilience,Disaster_prepardness_in_urban_area,0.5293006896972656
rag,environmental policy coordination,ENDOH_root_children,At_the_macroenvironmental_level,0.49792277812957764
rag,greenhouse gas emission regulation,policy_governance_effect,regulations_on_air_Quality,0.4160063564777374
rag,environmental disaster governance,Community_resilience,Disaster_prepardness_in_urban_area,0.5148913264274597
rag,climate adaptation strategy,Extreme_weather_Events,Climatic_changes,0.5675609111785889
rag,coastal zone management policy,Trans_boundary_pollution,Marine_pollution,0.42756417393684387
rag,water resource protection policy,policy_governance_effect,regulations_on_water_quality,0.6439220905303955
rag,environmental risk communication,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.4892197251319885
rag,disaster risk reduction framework,Community_resilience,Disaster_prepardness_in_urban_area,0.610393762588501
rag,environmental monitoring and reporting system,At_the_mesoenvironmental_level,Built_in_environment,0.3972876965999603
rag,flood risk governance,Local_community_infrastructre,Flood_control_mechanisms,0.6255022883415222
rag,flood mitigation policy,Local_community_infrastructre,Flood_control_mechanisms,0.7109112739562988
rag,disaster risk communication,Community_resilience,Disaster_prepardness_in_urban_area,0.5855884552001953
rag,climate change risk communication,Extreme_weather_Events,Climatic_changes,0.42236608266830444
rag,environmental risk governance,At_the_macroenvironmental_level,policy_governance_effect,0.48388275504112244
rag,flood management policy,Local_community_infrastructre,Flood_control_mechanisms,0.7199490070343018
rag,climate adaptation governance,Extreme_weather_Events,Climatic_changes,0.5300270915031433
rag,disaster preparedness policy,Community_resilience,Disaster_prepardness_in_urban_area,0.6918546557426453
rag,environmental risk assessment policy,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.5099135637283325
rag,earthquake risk reduction policy,Community_resilience,Disaster_prepardness_in_urban_area,0.45885562896728516
rag,flood risk management governance,Local_community_infrastructre,Flood_control_mechanisms,0.6024062633514404
rag,disaster risk reduction strategy,Community_resilience,Disaster_prepardness_in_urban_area,0.6367315649986267
