rag_concepts,non_rag_concepts
elderly exposure risk,elderly thermal stress vulnerability
child susceptibility,pediatric air pollutant sensitivity
low-income housing exposure,prenatal chemical exposure risk
flood-prone community exposure,neonatal contaminant transfer
heat-vulnerable population,immunocompromised pathogen susceptibility
thermal stress sensitivity,occupational solvent exposure
cognitive impairment risk group,agricultural pesticide drift impact
urban slum environmental exposure,urban heat island exposure
gender-specific vulnerability,rural groundwater contamination risk
developing-country exposure risk,coastal flood-related toxin exposure
air pollution exposure in vulnerable populations,indoor mold hypersensitivity
indoor air pollution exposure,asthmatic particulate matter response
women exposure vulnerability,genetic polymorphism in toxin metabolism
pregnant women air pollution risk,respiratory allergen sensitivity
prenatal environmental risk,noise-induced cardiovascular strain
low birth weight risk from pollution,radiation-sensitive subpopulations
preterm birth environmental risk,heavy metal bioaccumulation vulnerability
low-income household indoor pollution exposure,endocrine disruptor developmental effects
maternal air pollution exposure,climate-driven vector exposure
in utero pollutant exposure,microplastic ingestion risk
pregnancy-related vulnerability,waterborne pathogen vulnerability
low birth weight susceptibility,dust-borne allergen exposure
preterm birth risk,uv radiation susceptibility
cognitive development impairment from prenatal exposure,arctic contaminant bioamplification
orofacial cleft risk from maternal exposure,wildfire smoke exposure sensitivity
adult air pollution health burden,waste incineration plume impact
community-level air pollution exposure,volcanic ash respiratory risk
immunocompromised individuals,airborne particulate neurotoxicity
occupationally at-risk groups,persistent organic pollutant retention
indigenous community exposure,nanoparticle inhalation sensitivity.
extreme climate event vulnerability,
flooding-related health risk,
infectious disease susceptibility,
urban heat exposure,
limited green space access,
blue space exposure disparity,
climate event exposure,
green space accessibility,
blue space exposure,
vegetation-related cooling benefit,
environmental heat vulnerability,
urban environmental exposure,
built environment resilience,
