set,concept,best_cluster,best_endoh_label,best_similarity
rag,elderly exposure risk,At_the_Individual_level,Exposure_to_pollutants_home,0.5515111088752747
rag,child susceptibility,At_the_Individual_level,genetic_predisposition_disease,0.40879112482070923
rag,low-income housing exposure,Built_in_environment,housing_quality,0.6624710559844971
rag,flood-prone community exposure,Local_community_infrastructre,Flood_control_mechanisms,0.5494685769081116
rag,heat-vulnerable population,Home_as_microenvironment,Thermal_comfort_in_home,0.4760989546775818
rag,thermal stress sensitivity,At_the_macroenvironmental_level,Indoor_heat_stress_in_workplace,0.5579262971878052
rag,cognitive impairment risk group,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.35697346925735474
rag,urban slum environmental exposure,At_the_Individual_level,Exposure_to_pollutants_home,0.5867657661437988
rag,gender-specific vulnerability,At_the_mesoenvironmental_level,Community_resilience,0.3642861843109131
rag,developing-country exposure risk,At_the_Individual_level,Exposure_to_pollutants_workplace,0.4525032639503479
rag,air pollution exposure in vulnerable populations,At_the_Individual_level,Exposure_to_pollutants_home,0.6691218614578247
rag,indoor air pollution exposure,At_the_Individual_level,Exposure_to_pollutants_home,0.7282345294952393
rag,women exposure vulnerability,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.5255883932113647
rag,pregnant women air pollution risk,At_the_Individual_level,Exposure_to_pollutants_home,0.5247845649719238
rag,prenatal environmental risk,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.5065481066703796
rag,low birth weight risk from pollution,At_the_mesoenvironmental_level,Level_of_pollution,0.5106325149536133
rag,preterm birth environmental risk,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.5004610419273376
rag,low-income household indoor pollution exposure,At_the_Individual_level,Exposure_to_pollutants_home,0.751619815826416
rag,maternal air pollution exposure,At_the_Individual_level,Exposure_to_pollutants_home,0.640331506729126
rag,in utero pollutant exposure,At_the_Individual_level,Exposure_to_pollutants_home,0.6676657795906067
rag,pregnancy-related vulnerability,At_the_Individual_level,genetic_predisposition_disease,0.3483541011810303
rag,low birth weight susceptibility,At_the_Individual_level,genetic_predisposition_disease,0.40264013409614563
rag,preterm birth risk,At_the_Individual_level,genetic_predisposition_disease,0.390749454498291
rag,cognitive development impairment from prenatal exposure,At_the_Individual_level,genetic_predisposition_disease,0.3641274869441986
rag,orofacial cleft risk from maternal exposure,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.31507405638694763
rag,adult air pollution health burden,policy_governance_effect,regulations_on_air_Quality,0.6249123811721802
rag,community-level air pollution exposure,At_the_mesoenvironmental_level,Level_of_pollution,0.7181534767150879
rag,immunocompromised individuals,Health_outcomes,Infectious_disease,0.3734608292579651
rag,occupationally at-risk groups,At_the_macroenvironmental_level,Physical_safety_measures_in_workplace,0.4387803375720978
rag,indigenous community exposure,At_the_mesoenvironmental_level,Community_resilience,0.45215678215026855
rag,extreme climate event vulnerability,At_the_global_level,Extreme_weather_Events,0.71415776014328
rag,flooding-related health risk,Local_community_infrastructre,Flood_control_mechanisms,0.5101662278175354
rag,infectious disease susceptibility,Health_outcomes,Infectious_disease,0.660347580909729
rag,urban heat exposure,At_the_macroenvironmental_level,Indoor_heat_stress_in_workplace,0.5819056034088135
rag,limited green space access,At_the_mesoenvironmental_level,Accessibility_to_green_space,0.7766194343566895
rag,blue space exposure disparity,At_the_mesoenvironmental_level,Accessibility_to_green_space,0.5203816294670105
rag,climate event exposure,At_the_global_level,Extreme_weather_Events,0.6186103820800781
rag,green space accessibility,At_the_mesoenvironmental_level,Accessibility_to_green_space,0.9739701747894287
rag,blue space exposure,At_the_mesoenvironmental_level,Accessibility_to_green_space,0.473935604095459
rag,vegetation-related cooling benefit,Extreme_weather_Events,Climatic_changes,0.39476752281188965
rag,environmental heat vulnerability,Extreme_weather_Events,Climatic_changes,0.514605700969696
rag,urban environmental exposure,At_the_Individual_level,Exposure_to_pollutants_home,0.6951287984848022
rag,built environment resilience,At_the_mesoenvironmental_level,Built_in_environment,0.7278628349304199
non_rag,elderly thermal stress vulnerability,Home_as_microenvironment,Thermal_comfort_in_home,0.5747898817062378
non_rag,pediatric air pollutant sensitivity,At_the_Individual_level,Exposure_to_pollutants_home,0.5315033197402954
non_rag,prenatal chemical exposure risk,Exposure_to_pollutants_home,Cleaning_chemical_risk,0.5280740857124329
non_rag,neonatal contaminant transfer,Local_community_infrastructre,Contaminants_in_public_water_source,0.4487287700176239
non_rag,immunocompromised pathogen susceptibility,Health_outcomes,Infectious_disease,0.5235052108764648
non_rag,occupational solvent exposure,At_the_Individual_level,Exposure_to_pollutants_workplace,0.6711875200271606
non_rag,agricultural pesticide drift impact,Exposure_to_pollutants_workplace,Agriculture_pesticide_Exposure,0.7628731727600098
non_rag,urban heat island exposure,At_the_macroenvironmental_level,Indoor_heat_stress_in_workplace,0.4803796410560608
non_rag,rural groundwater contamination risk,Local_community_infrastructre,Contaminants_in_public_water_source,0.5945204496383667
non_rag,coastal flood-related toxin exposure,At_the_Individual_level,Exposure_to_toxins_home,0.6739883422851562
non_rag,indoor mold hypersensitivity,Exposure_to_pollutants_home,Indoor_mold_growth,0.7124267816543579
non_rag,asthmatic particulate matter response,Respiratory_disease,Asthma,0.6373643279075623
non_rag,genetic polymorphism in toxin metabolism,Chronic_Disease,toxin_induced_cancer_risk,0.5709820985794067
non_rag,respiratory allergen sensitivity,Chronic_Disease,Respiratory_disease,0.5120005011558533
non_rag,noise-induced cardiovascular strain,Exposure_to_pollutants_workplace,Industrial_noise_pollution,0.38783544301986694
non_rag,radiation-sensitive subpopulations,Home_as_microenvironment,Radiation_from_electronics,0.4435241222381592
non_rag,heavy metal bioaccumulation vulnerability,Exposure_to_pollutants_home,Cleaning_chemical_risk,0.4288824796676636
non_rag,endocrine disruptor developmental effects,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.3340921998023987
non_rag,climate-driven vector exposure,Home_as_microenvironment,Exposure_to_synthetic_materials,0.4181349277496338
non_rag,microplastic ingestion risk,Exposure_to_toxins_home,Microplastic_drinking_Water,0.7387826442718506
non_rag,waterborne pathogen vulnerability,Local_community_infrastructre,Contaminants_in_public_water_source,0.5805803537368774
non_rag,dust-borne allergen exposure,At_the_Individual_level,Exposure_to_pollutants_home,0.42880523204803467
non_rag,uv radiation susceptibility,Home_as_microenvironment,Radiation_from_electronics,0.4105527997016907
non_rag,arctic contaminant bioamplification,Local_community_infrastructre,Contaminants_in_public_water_source,0.4473957419395447
non_rag,wildfire smoke exposure sensitivity,Exposure_to_pollutants_home,Carbon_monoxide_Exposure,0.39910438656806946
non_rag,waste incineration plume impact,Local_community_infrastructre,Waste_recycling_facilities,0.437809556722641
non_rag,volcanic ash respiratory risk,Chronic_Disease,Respiratory_disease,0.4593599736690521
non_rag,airborne particulate neurotoxicity,Local_community_infrastructre,Airborne_disease_transmission_in_public_spaces,0.5520747900009155
non_rag,persistent organic pollutant retention,Trans_boundary_pollution,Organic_pollutants,0.749100923538208
non_rag,nanoparticle inhalation sensitivity.,Exposure_to_pollutants_workplace,Paint_chemical_inhalation,0.53471839427948
