rag_concepts,non_rag_concepts
xenobiotic exposure,microplastic ingestion
chemical contamination,arsenic in groundwater
dietary chemical intake,mercury bioaccumulation
waterborne chemical exposure,cadmium in rice
airborne chemical exposure,bisphenol a exposure
cosmetic chemical exposure,formaldehyde off-gassing
personal-care product chemical exposure,trichloroethylene contamination
plastic-associated chemical exposure,perchloroethylene vapor intrusion
antimicrobial chemical exposure,nitrates in drinking water
air pollution,brominated flame retardants
heavy metals,organophosphate pesticide drift
environmental neurotoxicants,chlorinated solvent exposure
air pollutants,polycyclic aromatic hydrocarbon deposition
environmental contaminant exposures,diesel particulate matter
chemical exposures,ozone formation by vocs
lead exposure,radon infiltration
polycyclic aromatic hydrocarbon exposure,asbestos fiber inhalation
pbde exposure,manganese in well water
phthalate exposure,uranium contamination
pesticide exposure,benzene exposure
neurotoxicant exposures,styrene emissions
synthetic chemical exposure,carbon monoxide poisoning
,fluoride overexposure
,chromium vi contamination
,pcb bioaccumulation
,ethylene oxide emissions
,hydrogen sulfide release
,ammonium perchlorate residues
,cyanotoxin contamination
,sulfur dioxide exposure
,formalin vapor exposure
,acetone solvent exposure
,toluene inhalation
,xylene exposure
,antimony dust inhalation
,nickel refinery emissions
,cobalt nanoparticle exposure
,titanium dioxide nanoparticle exposure
,microcystin contamination
,endocrine-disrupting chemical mixtures.
